,user_id_fors,user_id_motion_tag,N_KT,ID_Agglo,N_Agglo,ID_Gem,first_activity_date,last_activity_da,days_in_range,active_days_count,days_without_event,days_without_track,operating_system,os_version,handset,home_geometry_from_gps
30,CH10517,d1ff2840-6be8-4887-9f71-10bf09f0f728,VD,6153,Monthey,5401,2023-05-13,2023-06-05,24,24,0,3,android,9,samsung SM-G950F,POINT (6.632997483461966 46.51340766902545)
31,CH10550,69d3d678-a6d5-453b-96b6-bbaed01976aa,GE,6621,Genève,6601,2023-05-13,2023-06-03,22,22,0,2,ios,iOS 15.1.1,"iPhone14,4",POINT (6.172558785929698 46.16449070113238)
32,CH10570,d84a60e9-35f9-4469-b64f-01e688a12afb,VD,6153,Monthey,5401,2023-04-25,2023-05-30,36,36,0,0,ios,iOS 16.3.1,"iPhone14,5",POINT (7.1075396975196385 46.35633584182893)
33,CH1059,021cfcf6-5a11-41e8-bc85-47d86cf1b7fc,GE,6621,Genève,6601,2023-05-03,2023-06-05,34,34,0,0,ios,iOS 16.5,"iPhone10,4",POINT (6.167265202697496 46.19281875738702)
34,CH10593,1d9b4ea3-7a96-4eeb-9a17-3e0ca7f52a7a,VD,6153,Monthey,5401,2023-04-25,2023-05-30,36,36,0,1,android,10,Xiaomi Redmi Note 8 Pro,POINT (6.605065531017872 46.563034501667595)
35,CH10599,7a37a15f-82b1-4028-a7d1-cc0aa84e3d1b,GE,6621,Genève,6601,2023-05-07,2023-06-02,27,27,0,14,android,13,samsung SM-S901B,POINT (6.158969255400711 46.204429815842076)
36,CH1060,530f377b-4316-45a1-9020-e7c9d7c85cb9,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,6,ios,iOS 16.5,"iPhone10,5",POINT (6.636335810767343 46.52194944137797)
37,CH10605,90d58395-8f22-4915-bfc9-d45b86dadbb9,GE,6621,Genève,6601,2023-04-24,2023-05-30,37,37,0,2,android,10,samsung SM-G960F,POINT (6.114322126370443 46.195118038588966)
38,CH10631,523c4340-777d-4841-8749-38e6a169566f,VD,6153,Monthey,5401,2023-05-04,2023-06-02,30,30,0,13,android,12,samsung SM-G990B,POINT (6.529288353571428 46.481797192857144)
39,CH10677,5d10ddeb-a12a-4994-8d68-3e10763d92f0,VD,6153,Monthey,5401,2023-04-24,2023-05-31,38,38,0,0,ios,iOS 16.4.1,"iPhone13,3",POINT (6.661252033827932 46.54368342022435)
40,CH10703,3072c9ed-23c5-46b0-9aa4-db4e490c6644,VD,6153,Monthey,5401,2023-04-29,2023-06-04,37,37,0,1,ios,iOS 16.5,"iPhone14,5",POINT (6.526519341573387 46.65426068969838)
41,CH10721,556c7f46-2538-44cf-ab78-a8f3a4a843d4,VD,6153,Monthey,5401,2023-05-02,2023-05-30,29,29,0,2,ios,iOS 16.1.1,"iPhone11,8",POINT (6.831665272703648 46.4791957309871)
42,CH10738,3ed297f8-434b-40a0-8f0e-3ae820e9ec82,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,0,ios,iOS 15.6.1,"iPhone13,2",POINT (6.644466263202795 46.513767049610145)
43,CH1083,9a7599c2-f5f8-4b99-827c-290eab3a07d4,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,1,ios,iOS 15.3.1,"iPhone12,8",POINT (6.630127862764189 46.52593370635808)
44,CH10837,b42244de-f9d0-45d2-af39-c0da2462a9d4,VD,6153,Monthey,5401,2023-05-11,2023-06-05,26,26,0,0,ios,iOS 16.5,"iPhone14,2",POINT (6.63048664926349 46.53076508626507)
45,CH10842,77de74bc-2b8e-4a92-9d85-0f9ac70db8ab,VD,6153,Monthey,5401,2023-04-26,2023-06-05,41,41,0,3,ios,iOS 16.5,"iPhone10,1",POINT (6.914793958237866 46.43539708831813)
46,CH1085,64bf7765-d1a0-4230-a845-42d58f4d7fd1,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,0,android,12,samsung SM-N970F,POINT (6.385920187482577 46.493143294526334)
47,CH10915,6e4e41b8-e552-4a1b-bf8f-d7efff1a3e39,VD,6153,Monthey,5401,2023-05-04,2023-06-05,33,33,0,16,android,13,samsung SM-S908B,POINT (6.607726720642487 46.77793163275224)
48,CH1093,72822146-1718-402e-9f5e-c0cc53bc2169,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,3,ios,iOS 16.5,"iPhone14,2",POINT (6.57346190403311 46.70397758152998)
49,CH10943,1746cdd2-e001-4985-931c-12eeeed2ef81,VD,6153,Monthey,5401,2023-05-03,2023-06-05,34,34,0,0,ios,iOS 16.5,"iPhone15,3",POINT (6.83991626666302 46.7069957685371)
50,CH10944,8472bec7-acdb-4341-ac4b-d8e59f32908a,GE,6621,Genève,6601,2023-04-25,2023-05-12,18,18,0,0,android,13,samsung SM-S911B,POINT (6.128048765208334 46.21168768510417)
51,CH10952,ae9e7496-c63f-4d20-a6c7-629c2700604a,VD,6153,Monthey,5401,2023-04-27,2023-05-30,34,34,0,14,android,13,Xiaomi M2102K1G,POINT (6.475226377019842 46.69511954157738)
52,CH10956,11eed956-d671-43f6-b8a6-ef3d50e293c1,VD,6153,Monthey,5401,2023-05-13,2023-06-05,24,24,0,1,ios,iOS 15.7.6,"iPhone8,1",POINT (6.64771707966064 46.533584407518156)
53,CH10959,544cdba7-e06f-476a-96cb-f440ffa80fdf,VD,6153,Monthey,5401,2023-04-27,2023-06-05,40,40,0,0,ios,iOS 16.5,"iPhone12,1",POINT (6.652889448137515 46.51757962418859)
54,CH10968,955bc419-35f6-46ee-b551-31ccf9efcbc1,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,10,android,12,samsung SM-G973F,POINT (6.501142141386086 46.60702802229654)
55,CH11043,45a829c7-e9fe-4cb2-a690-20198c777795,,99,,99,2023-04-24,2023-06-05,43,43,0,2,ios,iOS 16.5,"iPhone14,4",POINT (33.69311966529948 34.97895853470679)
56,CH11047,52b863d2-3873-4384-ae7c-855e25703b68,VD,6153,Monthey,5401,2023-05-13,2023-06-04,23,23,0,0,ios,iOS 16.5,"iPhone14,2",POINT (6.193792469357374 46.316997362791795)
57,CH1105,6bffb747-943a-40c1-870c-2412ec164d1d,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,18,android,10,samsung SM-G960F,POINT (6.626467662063492 46.50972319412698)
58,CH11059,27de0bd1-1fb8-44ba-ad4a-f8b15f5f2b20,GE,6621,Genève,6601,2023-04-25,2023-06-05,42,42,0,3,android,12,samsung SM-G973F,POINT (6.080805327017192 46.225611835784)
59,CH11120,569505e8-a1e2-4b7d-a60c-f589a8b280c0,GE,6621,Genève,6601,2023-04-24,2023-06-03,41,41,0,2,android,13,samsung SM-G990B,POINT (6.167006533171317 46.20004061705481)
60,CH1113,e38fc501-8e26-496b-9ad8-34498c79ab3e,GE,6621,Genève,6601,2023-04-26,2023-06-05,41,41,0,0,ios,iOS 16.3.1,"iPhone15,3",POINT (6.171869527121685 46.20182731874198)
61,CH11139,924f3eb1-4a40-487b-8cdc-0669b049c2b2,VD,6153,Monthey,5401,2023-04-26,2023-06-05,41,41,0,5,ios,iOS 16.3.1,"iPhone14,2",POINT (6.599775817323707 46.52451406669935)
62,CH1115,8ec7d654-9122-4c19-b808-b05a3e44dadd,VD,6153,Monthey,5401,2023-04-25,2023-05-30,36,36,0,0,ios,iOS 16.4.1,"iPhone13,2",POINT (6.607857995734652 46.58729861933165)
63,CH11161,c4a778dd-9e32-467e-a939-711fd01e6954,GE,6621,Genève,6601,2023-04-25,2023-06-05,42,42,0,0,android,11,HMD Global Nokia 8.1,POINT (6.135336569205054 46.14656858231582)
64,CH1118,de15ac11-7e36-4cb7-a4b1-8f6c7c82f6d4,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,7,ios,iOS 16.5,"iPhone12,8",POINT (6.570533773689467 46.51525606595271)
65,CH11210,93f57d49-a210-4937-98fd-267507b53080,GE,6621,Genève,6601,2023-06-02,2023-06-05,4,4,0,1,ios,iOS 16.5,"iPhone12,1",POINT (6.114333018088882 46.20479355676513)
66,CH11212,d2dc38cd-1dd9-49aa-936f-b6483a07e687,GE,6621,Genève,6601,2023-05-02,2023-06-05,35,35,0,1,ios,iOS 16.5,"iPhone11,8",POINT (6.039964654727125 46.14238371469849)
67,CH1122,9eaa05b9-f871-40c0-a08b-eec7e42266a8,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,1,ios,iOS 15.7.5,"iPhone8,1",POINT (6.893156079355879 46.45398992152787)
68,CH11226,55443435-3c87-4a11-b07d-e5ea6347e15b,VD,6153,Monthey,5401,2023-04-27,2023-06-02,37,37,0,3,android,13,samsung SM-G715FN,POINT (6.678689900113928 46.52341679054275)
69,CH1123,59989d7d-c13e-4216-b1e1-90f703691ffc,GE,6621,Genève,6601,2023-05-02,2023-06-05,35,35,0,2,ios,iOS 16.5,"iPhone11,8",POINT (6.149283143306632 46.21328938751838)
70,CH11273,06b50008-77c0-42fa-abce-d95f53f23958,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,0,ios,iOS 16.5,"iPhone14,8",POINT (6.602486876381384 46.55091505166716)
71,CH11280,2ca24aab-b1e8-4457-b80a-b40cbc6cd68e,,99,,99,2023-05-03,2023-06-05,34,34,0,15,android,9,samsung SM-G960F,
72,CH11297,076e53ae-854d-4e83-a150-5df1906d52ee,GE,6621,Genève,6601,2023-04-29,2023-06-05,38,38,0,3,android,12,motorola motorola edge 30,POINT (6.161696551227182 46.19012865549702)
73,CH1134,6fca5e49-72b3-488c-b362-281997b6676e,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,2,android,13,realme RMX3301,POINT (6.618030508181634 46.52499722421005)
74,CH11359,159cf133-1607-44b1-a786-157e76cff69e,VD,6153,Monthey,5401,2023-04-24,2023-05-31,38,38,0,0,android,11,OnePlus ONEPLUS A6013,POINT (6.666154452313145 46.51181916372838)
75,CH11386,9301cbf9-7be1-4538-9d6f-763802d534b6,GE,6621,Genève,6601,2023-04-25,2023-06-03,40,40,0,3,ios,iOS 16.5,"iPhone14,2",POINT (6.116317421262604 46.1706637337998)
76,CH11429,fcaf047b-2351-499b-85d7-b5ca27403839,VD,6153,Monthey,5401,2023-05-02,2023-05-31,30,30,0,1,ios,iOS 16.4.1,"iPhone10,4",POINT (6.591277141080454 46.536705796629306)
77,CH11441,a76f9575-5b47-452a-b00d-8ff843f68317,VD,6153,Monthey,5401,2023-04-25,2023-06-03,40,40,0,2,ios,iOS 16.5,"iPhone12,3",POINT (6.90329985559481 46.45533282342148)
78,CH11459,86cfcd2a-9ca7-4c87-b4c1-212d7f47d034,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,2,android,8.0.0,samsung SM-G930F,POINT (6.627542656309524 46.798800356817885)
79,CH11471,367f2a90-992b-469b-90be-b9c4140a4efe,GE,6621,Genève,6601,2023-04-24,2023-06-05,43,43,0,8,ios,iOS 16.5,"iPhone13,2",POINT (6.219642853001168 46.2045718616508)
80,CH11491,5b461f5b-2ae1-489d-9383-a168c58bab2f,GE,6621,Genève,6601,2023-05-12,2023-05-14,3,3,0,1,android,13,samsung SM-A715F,POINT (6.1225815 46.2119238)
81,CH11492,319a92ae-a0cc-489a-85ff-371c04daf079,GE,6621,Genève,6601,2023-04-24,2023-05-30,37,37,0,0,ios,iOS 16.2,"iPhone12,1",POINT (6.235612239381339 46.25623608303854)
82,CH11506,973bc9c7-4e49-4ef0-9edf-915667ea0ca4,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,0,ios,iOS 16.3.1,"iPhone13,3",POINT (6.9327525576401765 46.82386335121034)
83,CH11511,d0dd46b1-5ebc-4aa5-8443-274da1b06fd5,VD,6153,Monthey,5401,2023-04-24,2023-04-30,7,7,0,0,ios,iOS 16.3.1,"iPhone14,3",POINT (6.677296433522194 46.505206619144)
84,CH11528,94e80555-75dc-4a35-8958-2b2ac91a49be,,99,,99,2023-05-03,2023-06-04,33,33,0,8,ios,iOS 16.2,"iPhone14,4",POINT (5.8186769925616275 46.11026549308797)
85,CH11540,2ff4bc1e-3434-4927-8ee6-2695734f2ece,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,1,ios,iOS 16.1.1,"iPhone13,3",POINT (6.733908245971837 46.539638945949754)
86,CH11541,f1cec4ea-eb75-49b4-adad-fdd9a08ee6dd,VD,6153,Monthey,5401,2023-05-03,2023-05-31,29,29,0,1,ios,iOS 16.4.1,"iPhone12,8",POINT (6.6342950753734415 46.5119540010129)
87,CH11557,afcba3d7-61ec-4c48-9b8c-2cadf9fe2818,VD,6153,Monthey,5401,2023-05-17,2023-06-05,20,20,0,4,ios,iOS 16.2,"iPhone12,8",POINT (6.176333490932303 46.31657881191704)
88,CH11564,a7ee2bb3-28fa-4cbc-8477-c773fbc16a66,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,9,ios,iOS 16.5,"iPhone14,4",POINT (6.645223770362239 46.5214349283535)
89,CH11603,67ce0933-cd2b-4deb-ac92-316c4a2ae58a,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,5,ios,iOS 16.3.1,"iPhone12,8",POINT (6.614354511921459 46.524241938071576)
90,CH11618,e29cfc74-5e49-4823-8a51-5e037be5d798,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,ios,iOS 16.3.1,"iPhone14,4",POINT (6.550406410745939 46.55121189354105)
91,CH11632,ba36699e-2ffb-4d62-a1c3-8edc8fe7962b,VD,6153,Monthey,5401,2023-04-24,2023-06-03,41,41,0,7,ios,iOS 16.5,"iPhone13,2",POINT (6.637675848598123 46.520010363770595)
92,CH11701,0c46203a-3f13-4fae-be53-4a537ccfdf9d,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,9,ios,iOS 16.5,"iPhone11,8",POINT (6.430448361502233 46.5810545959347)
93,CH11734,2591afe4-7938-4214-a51b-14926600cc4a,GE,6621,Genève,6601,2023-04-25,2023-06-05,42,42,0,0,ios,iOS 16.5,"iPhone14,3",POINT (6.104810551585728 46.19288918984527)
94,CH11735,e6e84951-9a90-4e24-9f30-2964c2c71508,GE,6621,Genève,6601,2023-05-02,2023-06-05,35,35,0,1,android,13,samsung SM-G990B,POINT (6.104994572887587 46.190706167724464)
95,CH11754,396e4c1a-d760-4b1c-b70c-ae8bcbaf0dd2,VD,6153,Monthey,5401,2023-04-25,2023-05-30,36,36,0,11,android,8.0.0,HUAWEI WAS-LX1A,POINT (6.642690599027778 46.80806739472223)
96,CH11770,49b9c5b0-3bfd-4b73-af87-57b9cf53b71e,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,ios,iOS 16.5,"iPhone14,4",POINT (6.651613844225073 46.53619827310958)
97,CH11784,9a6b421c-7a04-45c7-8da0-741c475c01a0,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,9,android,13,samsung SM-A137F,POINT (6.527800439319728 46.606918760432464)
98,CH11785,19444fae-60e2-450a-818e-04bbff580ae8,VD,6153,Monthey,5401,2023-05-12,2023-06-02,22,22,0,2,ios,iOS 15.6.1,"iPhone11,8",POINT (6.5279095987051265 46.60693934130604)
99,CH11809,cf5edba0-bbdc-49c7-bafb-e6c1e1e880c5,,99,,99,2023-05-02,2023-05-03,2,2,0,0,android,10,HUAWEI SNE-LX1,
100,CH11814,c6f770eb-5611-47ca-baac-f8bb8a33fae0,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,4,ios,iOS 16.5,"iPhone12,8",POINT (6.607420497030371 46.77760892069289)
101,CH11836,366ca122-4dcd-4c4d-868b-de9bd32aee53,VD,6153,Monthey,5401,2023-04-27,2023-05-30,34,34,0,3,ios,iOS 16.4.1,"iPhone14,5",POINT (6.617312841063308 46.52753569352189)
102,CH11848,32505296-712e-415c-bb78-568c5c138968,VD,6153,Monthey,5401,2023-05-10,2023-06-05,27,27,0,2,android,9,samsung SM-G965F,POINT (6.988712359069464 46.29596869738084)
103,CH1185,323a9a06-2727-4394-85cc-285c9d397462,GE,6621,Genève,6601,2023-04-24,2023-06-05,43,43,0,21,android,10,samsung SM-A415F,POINT (6.160040922926004 46.28675149851233)
104,CH11850,212e5c3f-2e46-4def-8962-c494f96649b5,VD,6153,Monthey,5401,2023-04-30,2023-06-04,36,36,0,1,ios,iOS 16.3.1,"iPhone12,5",POINT (6.9081435962856395 46.43853844408329)
105,CH11852,857be0c1-677d-48bf-8ab5-faf4d0160856,VD,6153,Monthey,5401,2023-04-24,2023-06-01,39,39,0,0,android,11,Xiaomi Redmi Note 8 Pro,POINT (6.615398606928031 46.52884156532164)
106,CH11870,4e3dba60-13b6-4a5d-936c-6bb6747cb12f,GE,6621,Genève,6601,2023-05-01,2023-06-05,36,36,0,6,android,11,OPPO CPH2021,POINT (6.158553022952117 46.20260412809113)
107,CH11875,aa8b0bbb-90ff-4b12-8afd-a3b4f54c85f9,GE,6621,Genève,6601,2023-04-24,2023-05-30,37,37,0,1,ios,iOS 15.6.1,"iPhone11,8",POINT (6.149588847166119 46.245649892840675)
108,CH11886,aaab0873-caae-4097-8d5c-4ddec18f686f,VD,6153,Monthey,5401,2023-05-03,2023-06-03,32,32,0,1,ios,iOS 16.5,"iPhone14,7",POINT (6.657846760797928 46.82566572468403)
109,CH11902,919e53ce-5719-49fa-afea-07b016de99ea,,99,,99,2023-05-13,2023-05-27,15,15,0,2,ios,iOS 16.4.1,"iPhone10,1",POINT (6.363949321250471 46.13805415956427)
110,CH11904,23832b1c-0101-4c90-932e-c4c5a757dcf1,VD,6153,Monthey,5401,2023-05-04,2023-06-01,29,29,0,6,ios,iOS 16.3.1,"iPhone10,4",POINT (6.870553115174621 46.44985141437211)
111,CH11920,75409019-adb2-4de9-bd8e-4e631a952c9b,VD,6153,Monthey,5401,2023-04-26,2023-05-31,36,36,0,2,ios,iOS 15.7.5,"iPhone9,3",POINT (6.551992557074143 46.62203803034041)
112,CH11932,9f6f84d6-7c05-48e8-9b3f-1e3b749e2f95,GE,6621,Genève,6601,2023-05-01,2023-05-30,30,30,0,0,ios,iOS 16.2,"iPhone13,1",POINT (6.144405577417893 46.19517243535737)
113,CH11939,e72e2815-cb34-4e09-b74d-fd3ae3b1db98,GE,6621,Genève,6601,2023-05-11,2023-06-05,26,26,0,0,android,13,samsung SM-G780F,POINT (6.121402798547557 46.208625104593516)
114,CH11964,10d87c6a-9db6-4b5b-b8ed-33836612c1b3,GE,6621,Genève,6601,2023-05-02,2023-06-05,35,35,0,1,ios,iOS 16.1.2,"iPhone12,1",POINT (6.127187145601697 46.205934290093154)
115,CH11984,07b5fa90-52c6-4b1e-904a-b22049eb282f,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,ios,iOS 16.4.1,"iPhone12,1",POINT (6.871438290538476 46.45890123966117)
116,CH11993,96aa451c-e11d-4b2f-9d86-9301dfaebb6a,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,4,ios,iOS 15.7.6,"iPhone9,3",POINT (6.49246955205426 46.512769749161734)
117,CH12011,16d5bb86-ab61-4b6a-aca3-ca2576c38ca4,VD,6153,Monthey,5401,2023-04-24,2023-05-30,37,37,0,1,ios,iOS 16.3.1,"iPhone12,8",POINT (6.631277183279949 46.517653297937066)
118,CH12031,27d4c454-e7f9-482f-ba85-ebbba2617706,VD,6153,Monthey,5401,2023-05-11,2023-06-05,26,26,0,1,android,13,samsung SM-A536B,POINT (6.237380216627673 46.62003098478956)
119,CH12041,463f4cb1-7856-4aad-847a-eb5629e83760,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,19,android,13,OPPO CPH2173,POINT (6.6469980670940165 46.64098079940171)
120,CH12043,bb4ded7f-ee10-4b73-b7b5-9a10dadc7110,VD,6153,Monthey,5401,2023-04-26,2023-06-03,39,39,0,3,android,13,samsung SM-N981B,POINT (6.660452239015151 46.6359179985606)
121,CH12070,64067625-0efa-47a6-b040-d93708e53b2e,,99,,99,2023-05-01,2023-05-01,1,1,0,0,android,13,samsung SM-G990B,
122,CH1208,b4d15938-dcbe-4457-bdec-82d6e9e2d32e,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,2,ios,iOS 15.5,"iPhone12,8",POINT (6.776399155030391 46.62737186748955)
123,CH12081,1b37061e-c6cd-4560-9236-d605b3883759,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,1,ios,iOS 16.5,"iPhone14,4",POINT (6.613870349143882 46.526486320183125)
124,CH12103,808efa12-3e42-49cc-a9c4-d3faa406d66c,VD,6153,Monthey,5401,2023-04-27,2023-06-05,40,40,0,2,ios,iOS 16.3.1,"iPhone10,6",POINT (6.613007637082558 46.52816133615693)
125,CH12120,dd00bc2b-a7ff-4515-83ac-0682027c2e93,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,8,android,13,samsung SM-G996B,POINT (6.6360908159920635 46.52382980902194)
126,CH1215,4b3e1f27-1460-4d3e-b0eb-851efda22638,VD,6153,Monthey,5401,2023-05-04,2023-06-01,29,29,0,2,android,12,samsung SM-G998B,POINT (6.630720898466117 46.77663447573261)
